date,store_id,region,product_category,marketing_spend,price_index,unemployment_rate,promotions,sales
2023-01-01,1,North,Electronics,288.02,102.29,11.67,0,491.24
2023-01-01,2,East,Apparel,465.38,103.65,11.83,0,534.32
2023-01-01,3,South,Apparel,254.17,99.63,12.24,0,329.04
2023-01-01,4,North,Sports,134.03,100.38,11.81,0,325.11
2023-01-01,5,North,Sports,166.59,102.67,11.82,0,359.82
2023-01-01,6,West,Electronics,161.15,105.28,11.84,1,455.59
2023-01-01,7,North,Electronics,335.53,100.67,12.83,0,555.26
2023-01-01,8,South,Apparel,322.81,102.76,11.7,0,380.37
2023-01-01,9,North,Sports,174.77,104.09,11.66,0,341.04
2023-01-01,10,South,Sports,154.18,103.42,12.17,0,327.98
2023-01-01,11,West,Apparel,139.83,102.04,11.55,0,342.33
2023-01-01,12,West,Sports,118.21,100.71,12.25,0,312.12
2023-01-02,1,East,Electronics,247.71,101.53,12.45,0,447.74
2023-01-02,2,South,Home,33.2,103.73,11.57,0,246.38
2023-01-02,3,East,Grocery,183.48,103.04,11.76,0,388.11
2023-01-02,4,South,Apparel,130.85,101.75,12.15,0,309.71
2023-01-02,5,East,Electronics,154.29,103.27,12.41,0,366.79
2023-01-02,6,North,Home,139.5,102.01,12.38,0,311.82
2023-01-02,7,North,Grocery,206.8,102.15,11.88,0,387.4
2023-01-02,8,East,Sports,189.36,103.11,11.72,1,430.22
2023-01-02,9,East,Electronics,60.92,102.46,12.03,0,274.99
2023-01-02,10,West,Sports,186.22,102.95,12.1,0,356.34
2023-01-02,11,North,Home,355.46,103.63,11.76,0,534.38
2023-01-02,12,North,Sports,276.14,105.79,11.85,0,444.7
2023-01-03,1,East,Sports,217.17,101.74,12.0,0,352.84
2023-01-03,2,East,Sports,111.68,103.21,12.19,0,273.18
2023-01-03,3,South,Electronics,132.87,102.02,11.89,0,351.27
2023-01-03,4,North,Apparel,231.73,104.46,11.9,0,366.23
2023-01-03,5,East,Electronics,235.53,103.67,12.39,0,400.82
2023-01-03,6,South,Electronics,234.42,103.02,12.07,0,440.22
2023-01-03,7,West,Grocery,239.45,101.43,12.05,0,397.72
2023-01-03,8,West,Grocery,102.7,103.48,11.77,0,289.63
2023-01-03,9,South,Grocery,328.39,103.12,11.74,0,475.55
2023-01-03,10,East,Apparel,124.51,101.28,12.26,0,272.45
2023-01-03,11,East,Electronics,207.65,104.68,11.58,0,403.75
2023-01-03,12,South,Sports,111.07,103.22,11.96,1,335.91
2023-01-04,1,South,Apparel,127.83,100.23,11.72,0,259.82
2023-01-04,2,West,Home,225.47,103.08,12.07,1,431.39
2023-01-04,3,East,Sports,212.58,100.79,12.26,0,393.04
2023-01-04,4,South,Grocery,90.6,101.09,12.09,0,290.36
2023-01-04,5,North,Apparel,266.85,108.28,12.4,0,426.93
2023-01-04,6,North,Grocery,174.12,103.64,12.05,0,344.03
2023-01-04,7,West,Grocery,569.51,99.7,11.88,0,702.91
2023-01-04,8,North,Apparel,159.48,104.13,12.47,0,318.48
2023-01-04,9,East,Apparel,137.16,102.82,12.72,0,343.7
2023-01-04,10,West,Home,55.98,102.78,11.87,0,214.93
2023-01-04,11,West,Apparel,265.56,103.8,11.9,0,400.05
2023-01-04,12,East,Apparel,460.84,103.11,12.11,0,597.43
2023-01-05,1,South,Sports,82.07,101.77,11.93,0,303.31
2023-01-05,2,East,Sports,17.07,100.96,11.4,0,167.11
2023-01-05,3,West,Sports,162.39,102.7,12.02,0,409.87
2023-01-05,4,West,Grocery,117.57,103.19,11.94,0,338.52
2023-01-05,5,South,Apparel,218.72,103.49,11.82,0,408.97
2023-01-05,6,West,Electronics,190.33,103.38,11.85,0,423.38
2023-01-05,7,North,Electronics,149.06,103.77,12.29,0,414.68
2023-01-05,8,South,Apparel,306.78,103.44,12.17,0,394.35
2023-01-05,9,West,Sports,204.01,102.68,11.8,1,460.8
2023-01-05,10,North,Home,183.68,104.15,11.88,0,364.34
2023-01-05,11,West,Sports,381.24,102.53,11.93,0,540.37
2023-01-05,12,West,Sports,243.17,102.3,12.57,0,435.6
2023-01-06,1,East,Sports,115.76,100.68,12.23,0,304.71
2023-01-06,2,North,Electronics,204.93,101.15,11.37,0,472.85
2023-01-06,3,East,Grocery,129.5,102.02,12.18,0,365.89
2023-01-06,4,North,Grocery,233.78,101.74,12.17,0,446.16
2023-01-06,5,West,Apparel,86.29,100.39,11.8,0,310.85
2023-01-06,6,West,Electronics,241.58,104.71,11.91,0,457.56
2023-01-06,7,East,Sports,243.0,101.26,12.15,0,388.8
2023-01-06,8,South,Sports,289.87,101.9,12.02,1,488.97
2023-01-06,9,North,Grocery,216.95,101.34,12.68,0,418.36
2023-01-06,10,South,Apparel,535.96,101.35,11.97,0,630.67
2023-01-06,11,East,Apparel,128.38,101.6,12.31,0,229.5
2023-01-06,12,North,Sports,245.29,105.31,12.17,0,423.46
2023-01-07,1,East,Home,102.6,105.25,11.98,0,273.05
2023-01-07,2,North,Electronics,77.62,104.53,12.08,0,323.27
2023-01-07,3,East,Grocery,84.68,101.6,12.08,1,355.39
2023-01-07,4,South,Electronics,225.2,102.57,11.91,0,362.36
2023-01-07,5,South,Sports,238.99,103.27,12.32,0,418.16
2023-01-07,6,North,Electronics,265.86,101.38,12.03,1,578.76
2023-01-07,7,West,Electronics,563.35,105.13,11.69,0,707.66
2023-01-07,8,South,Apparel,309.1,104.55,11.87,0,407.62
2023-01-07,9,West,Sports,373.0,99.86,12.27,0,506.82
2023-01-07,10,South,Grocery,450.89,102.61,12.29,1,634.12
2023-01-07,11,West,Apparel,78.19,102.42,12.0,0,274.28
2023-01-07,12,South,Grocery,103.7,103.5,11.67,0,307.99
2023-01-08,1,West,Grocery,217.31,103.93,11.87,0,403.59
2023-01-08,2,West,Sports,167.96,101.31,11.57,0,341.43
2023-01-08,3,West,Electronics,542.81,102.55,12.15,0,737.58
2023-01-08,4,South,Apparel,211.66,102.17,11.78,0,359.79
2023-01-08,5,North,Grocery,193.84,99.05,11.81,0,326.07
2023-01-08,6,North,Sports,299.22,102.97,11.71,0,443.37
2023-01-08,7,South,Sports,83.95,102.81,11.94,0,247.77
2023-01-08,8,South,Electronics,156.97,100.88,12.07,0,384.8
2023-01-08,9,North,Electronics,223.65,104.72,12.71,0,461.84
2023-01-08,10,South,Electronics,123.57,102.21,12.42,0,289.95
2023-01-08,11,North,Grocery,97.25,103.34,11.86,0,292.28
2023-01-08,12,North,Sports,162.02,101.2,11.25,1,404.68
2023-01-09,1,South,Grocery,181.57,101.14,12.07,0,366.3
2023-01-09,2,West,Apparel,265.05,101.03,12.61,0,461.58
2023-01-09,3,South,Sports,142.79,103.36,12.08,0,213.89
2023-01-09,4,West,Apparel,235.51,101.14,11.66,0,398.55
2023-01-09,5,West,Home,143.71,102.57,11.82,0,361.04
2023-01-09,6,South,Electronics,268.74,104.66,11.47,0,414.25
2023-01-09,7,North,Home,248.86,101.59,12.15,0,459.89
2023-01-09,8,East,Home,244.79,101.88,11.9,0,389.51
2023-01-09,9,West,Home,239.06,105.61,11.92,0,440.39
2023-01-09,10,North,Electronics,55.4,100.99,12.32,0,275.64
2023-01-09,11,North,Home,243.51,102.17,12.27,0,410.45
2023-01-09,12,East,Electronics,84.47,104.22,12.15,0,346.98
2023-01-10,1,South,Apparel,226.47,102.87,11.67,0,330.18
2023-01-10,2,South,Sports,214.05,101.78,11.9,0,379.96
2023-01-10,3,West,Apparel,178.53,101.03,11.87,0,328.67
2023-01-10,4,West,Apparel,314.81,104.53,11.51,0,460.37
2023-01-10,5,East,Home,67.86,104.74,12.05,0,334.87
2023-01-10,6,South,Electronics,218.26,103.59,12.07,0,418.77
2023-01-10,7,West,Sports,482.63,104.52,12.06,0,599.79
2023-01-10,8,North,Electronics,116.97,102.31,12.76,0,364.93
2023-01-10,9,North,Electronics,189.69,101.86,12.26,0,338.79
2023-01-10,10,South,Apparel,96.17,100.56,11.55,0,244.65
2023-01-10,11,West,Home,180.9,102.09,12.24,0,363.67
2023-01-10,12,West,Apparel,476.38,104.19,11.69,1,647.51
2023-01-11,1,West,Electronics,178.62,100.84,12.0,0,418.43
2023-01-11,2,South,Home,207.75,102.46,11.97,0,364.29
2023-01-11,3,North,Home,202.74,101.68,12.42,0,296.45
2023-01-11,4,East,Home,371.69,99.39,12.09,1,547.14
2023-01-11,5,East,Home,88.76,101.33,11.89,0,273.64
2023-01-11,6,West,Apparel,324.34,104.41,11.79,0,437.96
2023-01-11,7,South,Grocery,154.76,103.23,11.89,0,329.38
2023-01-11,8,South,Electronics,292.7,103.17,12.49,0,435.21
2023-01-11,9,North,Grocery,276.96,102.04,11.5,0,511.05
2023-01-11,10,North,Electronics,154.92,104.07,12.39,0,326.68
2023-01-11,11,West,Sports,96.79,105.13,11.47,1,326.29
2023-01-11,12,South,Electronics,152.95,103.1,12.29,0,353.01
